ID_streamer,ID_game,minutes
1763,642,480
1767,642,825
1778,642,855
1806,642,195
1810,642,6210
1832,642,465
1865,642,4860
1873,642,705
1880,642,1665
1893,642,1935
1910,642,870
1925,642,315
1933,642,120
1935,642,375
1954,642,1290
2003,642,300
2022,642,1020
2055,642,240
2087,642,1200
2100,642,885
2113,642,75
2120,642,165
2122,642,360
2144,642,780
2161,642,2895
2172,642,45
2173,642,255
2182,642,1350
2212,642,165
2221,642,120
2269,642,315
2270,642,345
2271,642,630
2295,642,270
2298,642,75
2314,642,135
2324,642,795
2365,642,195
2370,642,150
2375,642,90
2376,642,1800
2385,642,870
2433,642,900
2440,642,1155
2470,642,1740
2488,642,135
2525,642,750
2532,642,435
2558,642,75
2621,642,60
2643,642,330
2646,642,60
2648,642,540
2668,642,300
2671,642,2685
2695,642,855
2701,642,210
2703,642,90
2715,642,3600
2718,642,195
2736,642,150
2743,642,4950
2752,642,225
2765,642,1890
2843,642,210
2852,642,3315
2886,642,345
2931,642,30
2932,642,900
2933,642,1155
2943,642,105
2953,642,6480
2959,642,1305
0,293,300
1,293,780
3,293,975
4,293,1020
5,293,300
6,293,1530
7,293,2595
8,293,1350
9,293,180
10,293,135
11,293,1995
12,293,1500
15,293,1875
16,293,945
17,293,360
19,293,1770
20,293,1170
22,293,45
30,293,120
31,293,405
32,293,105
34,293,405
35,293,435
37,293,360
39,293,60
40,293,630
41,293,75
44,293,1395
45,293,240
46,293,2955
49,293,120
50,293,1200
53,293,3570
55,293,420
56,293,2835
57,293,1365
59,293,915
60,293,135
61,293,2640
62,293,1995
63,293,60
65,293,60
66,293,105
67,293,405
68,293,1890
69,293,1470
70,293,45
75,293,60
76,293,2790
77,293,435
78,293,1620
79,293,3075
80,293,4005
81,293,2340
82,293,285
83,293,60
88,293,120
89,293,150
91,293,135
92,293,60
93,293,120
94,293,1260
95,293,180
96,293,645
100,293,1650
101,293,480
103,293,285
105,293,375
108,293,270
109,293,90
110,293,570
111,293,165
114,293,510
115,293,120
122,293,75
124,293,225
125,293,480
127,293,420
128,293,1800
129,293,375
130,293,435
131,293,990
132,293,1260
133,293,1575
134,293,195
135,293,6720
136,293,945
137,293,660
138,293,30
139,293,60
140,293,1380
141,293,420
142,293,4980
143,293,45
145,293,135
147,293,495
149,293,90
150,293,765
151,293,420
152,293,270
154,293,975
155,293,885
156,293,585
159,293,180
160,293,1935
161,293,165
163,293,210
164,293,90
166,293,435
167,293,285
168,293,2130
169,293,45
170,293,3045
171,293,3345
177,293,330
179,293,210
183,293,750
188,293,135
190,293,195
191,293,105
193,293,345
195,293,630
196,293,585
198,293,450
205,293,2520
206,293,1065
208,293,360
212,293,300
213,293,45
215,293,90
219,293,360
221,293,90
222,293,5520
224,293,1155
226,293,120
229,293,1515
230,293,795
232,293,165
235,293,2040
236,293,540
237,293,960
239,293,1875
241,293,585
245,293,315
246,293,390
247,293,990
250,293,525
254,293,405
255,293,1590
257,293,780
260,293,1215
265,293,300
267,293,390
271,293,525
272,293,90
273,293,165
274,293,465
275,293,630
278,293,120
282,293,1605
283,293,390
284,293,1410
288,293,75
289,293,90
290,293,465
291,293,195
292,293,1770
293,293,105
298,293,315
299,293,240
300,293,450
301,293,3300
302,293,480
305,293,30
306,293,660
307,293,1335
308,293,135
310,293,135
315,293,2175
317,293,60
319,293,510
323,293,525
325,293,360
327,293,615
330,293,2100
333,293,240
335,293,270
337,293,330
339,293,2895
341,293,255
342,293,1035
343,293,180
344,293,30
345,293,240
346,293,750
348,293,510
350,293,300
352,293,1665
353,293,60
355,293,2895
357,293,135
359,293,60
361,293,45
364,293,75
365,293,1755
366,293,975
368,293,270
369,293,2010
372,293,480
375,293,330
376,293,210
377,293,60
380,293,1425
381,293,120
382,293,300
383,293,105
386,293,900
389,293,1695
390,293,45
393,293,1560
395,293,1335
396,293,660
397,293,555
398,293,2220
402,293,780
403,293,975
404,293,2505
406,293,840
409,293,360
410,293,165
412,293,855
413,293,975
415,293,1410
416,293,735
417,293,660
419,293,795
420,293,180
422,293,1770
424,293,3285
427,293,855
429,293,45
431,293,45
