,twitch_name,steam_name,match_score,twitch_clean,steam_clean
479,Fire Pro Wrestling World,Fire Pro Wrestling World,100,fire pro wrestling world,
483,Aztech Forgotten Gods,Aztech Forgotten Gods,100,aztech forgotten gods,
485,It's Quiz Time,It's Quiz Time,100,it's quiz time,
486,Bendy and the Ink Machine,Bendy and the Ink Machine,100,bendy and the ink machine,
488,Beyond: Two Souls,Beyond: Two Souls,100,beyond two souls,
496,Minit,Minit,100,minit,
499,The Room,The Room,100,the room,
501,Legacy of Kain: Soul Reaver 2,Legacy of Kain: Soul Reaver 2,100,legacy of kain soul reaver 2,
503,Blasphemous,Blasphemous,100,blasphemous,
517,DOOM 3,DOOM 3,100,doom 3,
519,Resident Evil,Resident Evil,100,resident evil,
520,Serious Sam 4,Serious Sam 4,100,serious sam 4,
523,AI Battle Royale Generator,AI Battle Royale Generator,100,ai battle royale generator,
525,Heavy Rain,Heavy Rain,100,heavy rain,
527,Still Life,Still Life,100,still life,
528,Observation,Observation,100,observation,
533,Gamer Shop Simulator,Gamer Shop Simulator,100,gamer shop simulator,
539,Dragon's Dogma: Dark Arisen,Dragon's Dogma: Dark Arisen,100,dragon's dogma dark arisen,
542,Battlefield V,Battlefield V,100,battlefield v,
544,Contagion,Contagion,100,contagion,
550,Hylics,Hylics,100,hylics,
552,Assetto Corsa,Assetto Corsa,100,assetto corsa,
553,Perseverance: Part 2,Perseverance: Part 2,100,perseverance part 2,
554,Devil May Cry 5,Devil May Cry 5,100,devil may cry 5,
555,Fallout Shelter,Fallout Shelter,100,fallout shelter,
556,Hotline Miami,Hotline Miami,100,hotline miami,
562,Guns Up!,GUNS UP!,100,guns up,guns up
565,Escape the Ayuwoki,Escape the Ayuwoki,100,escape the ayuwoki,
570,Reminiscence,Reminiscence,100,reminiscence,
578,Raft,Raft,100,raft,
579,Lunch Lady,Lunch Lady,100,lunch lady,
580,Just Die Already,Just Die Already,100,just die already,
583,Dragon Ball: Xenoverse 2,DRAGON BALL XENOVERSE 2,100,dragon ball xenoverse 2,dragon ball xenoverse 2
586,Call of Cthulhu,Call of Cthulhu®,100,call of cthulhu,call of cthulhu
595,Doki Doki Literature Club!,Doki Doki Literature Club!,100,doki doki literature club,
596,SOMA,SOMA,100,soma,
597,Cuphead,Cuphead,100,cuphead,
598,Suspects: Mystery Mansion,Suspects: Mystery Mansion,100,suspects mystery mansion,
613,Realm Royale,Realm Royale,100,realm royale,
615,Tom Clancy's Rainbow Six Siege,Tom Clancy's Rainbow Six® Siege,100,tom clancy's rainbow six siege,tom clancy's rainbow six siege
617,Battlefleet Gothic: Armada 2,Battlefleet Gothic: Armada 2,100,battlefleet gothic armada 2,
619,Undertale,Undertale,100,undertale,
621,Mists of Aiden,Mists of Aiden,100,mists of aiden,
622,Death in the Family,Death in the Family,100,death in the family,
623,Mirror Layers,Mirror Layers,100,mirror layers,
626,Kingdom Come: Deliverance,Kingdom Come: Deliverance,100,kingdom come deliverance,
629,Nippon Marathon,Nippon Marathon,100,nippon marathon,
630,The Sims 3,The Sims™ 3,100,the sims 3,the sims 3
638,Journey to the Savage Planet,Journey To The Savage Planet,100,journey to the savage planet,journey to the savage planet
639,The Binding of Isaac: Rebirth,The Binding of Isaac: Rebirth,100,the binding of isaac rebirth,
641,Darksiders Genesis,Darksiders Genesis,100,darksiders genesis,
643,Beholder,Beholder,100,beholder,
646,WWE 2K19,WWE 2K19,100,wwe 2k19,
648,DuckTales: Remastered,DuckTales: Remastered,100,ducktales remastered,
653,Horror Story: Hallowseed,Horror Story: Hallowseed,100,horror story hallowseed,
658,Prince of Persia: The Sands of Time,Prince of Persia®: The Sands of Time,100,prince of persia the sands of time,prince of persia the sands of time
659,Rogue Legacy 2,Rogue Legacy 2,100,rogue legacy 2,
661,Car Mechanic Simulator 2018,Car Mechanic Simulator 2018,100,car mechanic simulator 2018,
665,Final Fantasy VII,FINAL FANTASY VII,100,final fantasy vii,final fantasy vii
672,The Dark Pictures Anthology: Little Hope,The Dark Pictures Anthology: Little Hope,100,the dark pictures anthology little hope,
675,Lonely Mountains: Downhill,Lonely Mountains: Downhill,100,lonely mountains downhill,
676,Spellbreak,Spellbreak,100,spellbreak,
678,Little Nightmares,Little Nightmares,100,little nightmares,
679,Nightmare Reaper,Nightmare Reaper,100,nightmare reaper,
681,Final Fantasy,FINAL FANTASY,100,final fantasy,final fantasy
684,Metal Slug X,METAL SLUG X,100,metal slug x,metal slug x
687,Dark Souls III,DARK SOULS™ III,100,dark souls iii,dark souls iii
701,Say No! More,Say No! More,100,say no more,
703,ShellShock Live,ShellShock Live,100,shellshock live,
704,Bully: Scholarship Edition,Bully: Scholarship Edition,100,bully scholarship edition,
706,Friday the 13th: The Game,Friday the 13th: The Game,100,friday the 13th the game,
707,Dying Light,Dying Light,100,dying light,
709,A Plague Tale: Innocence,A Plague Tale: Innocence,100,a plague tale innocence,
713,The World is Your Weapon,The World is Your Weapon,100,the world is your weapon,
716,The Vagrant,The Vagrant,100,the vagrant,
719,Knightfall: A Daring Journey,Knightfall: A Daring Journey,100,knightfall a daring journey,
722,Crab Game,Crab Game,100,crab game,
725,Dark Souls: Remastered,DARK SOULS™: REMASTERED,100,dark souls remastered,dark souls remastered
728,Slender: The Arrival,Slender: The Arrival,100,slender the arrival,
729,We Were Here Too,We Were Here Too,100,we were here too,
730,Phantasmagoria,Phantasmagoria,100,phantasmagoria,
731,Euro Truck Simulator,Euro Truck Simulator,100,euro truck simulator,
733,Furi,Furi,100,furi,
737,Kukoro: Stream Chat Games,Kukoro: Stream chat games,100,kukoro stream chat games,kukoro stream chat games
739,ibb & obb,ibb & obb,100,ibb  obb,
743,GRIS,GRIS,100,gris,
744,Epic Chef,Epic Chef,100,epic chef,
749,Cosplay Maker,Cosplay Maker,100,cosplay maker,
754,Five Nights at Freddy's 2,Five Nights at Freddy's 2,100,five nights at freddy's 2,
755,Onimusha: Warlords,Onimusha: Warlords,100,onimusha warlords,
759,Alien: Isolation,Alien: Isolation,100,alien isolation,
761,Monster Prom,Monster Prom,100,monster prom,
762,ALTF4,ALTF4,100,altf4,
765,Geometry Dash,Geometry Dash,100,geometry dash,
766,Pwnk,Pwnk,100,pwnk,
770,Legend of Grimrock,Legend of Grimrock,100,legend of grimrock,
771,Battlefield 1,Battlefield 1 ™,100,battlefield 1,battlefield 1
773,Teocida,TEOCIDA,100,teocida,teocida
776,Ben and Ed - Blood Party,Ben and Ed - Blood Party,100,ben and ed  blood party,
778,Assassin's Creed: Odyssey,Assassin's Creed® Odyssey,100,assassin's creed odyssey,assassin's creed odyssey
780,Ultimate Custom Night,Ultimate Custom Night,100,ultimate custom night,
786,Bloodstained: Ritual of the Night,Bloodstained: Ritual of the Night,100,bloodstained ritual of the night,
787,Prototype,Prototype™,100,prototype,prototype
790,Dark Souls II,DARK SOULS™ II,100,dark souls ii,dark souls ii
